epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5397,1.10427,3.9476,0.87149,0,0,0,0,1.1536,4.12017,0.84272,5e-05,5e-05,5e-05
2,33.5834,1.09021,3.68883,0.84495,0.0085,0.13187,0.0083,0.0037,1.21102,4.09043,0.82119,0.000110644,0.000110644,0.000110644
3,49.2324,1.04769,3.17468,0.84612,0.01633,0.42033,0.08489,0.03163,1.15146,4.05503,0.82113,0.000169225,0.000169225,0.000169225
4,64.6403,1.10801,2.72554,0.82843,0.0164,0.42033,0.12728,0.04115,1.23308,4.037,0.84425,0.000225744,0.000225744,0.000225744
5,79.9303,1.11936,2.3452,0.84504,0.02402,0.4739,0.2007,0.07842,1.147,3.91734,0.82816,0.0002802,0.0002802,0.0002802
6,94.7304,1.06514,2.0155,0.85199,0.02599,0.36676,0.15313,0.05451,1.19629,3.88694,0.83233,0.000332594,0.000332594,0.000332594
7,109.178,1.10031,1.8057,0.86713,0.04285,0.54533,0.31071,0.11501,1.16498,3.74027,0.81735,0.000382925,0.000382925,0.000382925
8,124.292,1.09436,1.59873,0.8538,0.0526,0.56319,0.32529,0.14238,1.14368,3.69068,0.82564,0.000431194,0.000431194,0.000431194
9,140.664,1.0375,1.39749,0.85333,0.0511,0.28984,0.20512,0.11352,1.16078,3.5595,0.83064,0.0004774,0.0004774,0.0004774
10,156.342,1.03251,1.27791,0.84619,0.05192,0.30769,0.2526,0.13689,1.19275,3.44151,0.83235,0.000521544,0.000521544,0.000521544
11,171.813,1.02326,1.20257,0.84507,0.04845,0.34615,0.24282,0.12997,1.19029,3.36365,0.83966,0.000563625,0.000563625,0.000563625
12,187.046,0.97915,1.11543,0.84031,0.04984,0.65385,0.26396,0.13375,1.09502,3.26704,0.82804,0.000603644,0.000603644,0.000603644
13,201.599,1.02955,1.11626,0.84478,0.0497,0.58654,0.28962,0.14498,1.19,3.26544,0.8517,0.0006416,0.0006416,0.0006416
14,216.64,1.00633,1.0589,0.85415,0.05097,0.75,0.44166,0.27165,1.12324,3.01954,0.84083,0.000677494,0.000677494,0.000677494
15,231.454,0.96761,1.03402,0.836,0.04829,0.75,0.49055,0.31415,1.19078,2.85109,0.85076,0.000711325,0.000711325,0.000711325
16,245.849,0.94524,0.92714,0.85116,0.0475,0.75,0.49814,0.33519,1.13988,2.76616,0.85022,0.000743094,0.000743094,0.000743094
17,260.775,1.01251,0.93949,0.85265,0.04681,0.75,0.6207,0.42134,1.07906,2.54346,0.84157,0.0007728,0.0007728,0.0007728
18,275.369,0.98354,0.91018,0.85018,0.91522,0.34249,0.64064,0.39404,1.22153,2.44217,0.85968,0.000800444,0.000800444,0.000800444
19,290.93,0.99964,0.91871,0.8424,0.98401,0.23214,0.63329,0.38814,1.20786,2.33736,0.86104,0.000826025,0.000826025,0.000826025
20,306.575,1.01874,0.89415,0.84944,0.85741,0.27814,0.62067,0.42415,1.07474,2.10427,0.83745,0.000849544,0.000849544,0.000849544
21,321.827,0.92572,0.83584,0.83276,0.87769,0.28992,0.62524,0.4215,1.1163,2.03091,0.84428,0.0008375,0.0008375,0.0008375
22,336.798,0.90185,0.82024,0.82696,0.92501,0.37819,0.58878,0.41377,1.05596,1.88612,0.83641,0.000816875,0.000816875,0.000816875
23,351.943,0.97237,0.84267,0.83173,0.93194,0.45305,0.61205,0.44118,1.00637,1.73509,0.83018,0.00079625,0.00079625,0.00079625
24,367.139,0.93026,0.80095,0.83323,0.9263,0.47361,0.63486,0.43893,1.13494,1.63635,0.84688,0.000775625,0.000775625,0.000775625
25,382.07,0.97771,0.81044,0.85556,0.92719,0.48152,0.71273,0.50584,1.1124,1.52173,0.84318,0.000755,0.000755,0.000755
26,397.016,0.89221,0.74566,0.84188,0.92026,0.5,0.80351,0.58517,1.01035,1.31998,0.83428,0.000734375,0.000734375,0.000734375
27,411.354,0.86418,0.71541,0.83834,0.87528,0.625,0.84661,0.62844,1.03277,1.1896,0.83951,0.00071375,0.00071375,0.00071375
28,425.39,0.89412,0.72759,0.83735,0.83762,0.8401,0.90077,0.65874,1.10827,1.04925,0.85058,0.000693125,0.000693125,0.000693125
29,439.273,0.8885,0.73926,0.84255,0.8431,0.875,0.90643,0.71816,0.97087,0.94869,0.83051,0.0006725,0.0006725,0.0006725
30,453.236,0.85077,0.7135,0.83331,0.89391,0.875,0.94101,0.74968,0.98278,0.90381,0.83211,0.000651875,0.000651875,0.000651875
31,468.577,0.87466,0.68983,0.82958,0.92047,0.875,0.94101,0.71152,1.0197,0.87546,0.83796,0.00063125,0.00063125,0.00063125
32,483.152,0.85109,0.68773,0.8309,0.924,0.96307,0.98268,0.73052,1.0735,0.84911,0.84678,0.000610625,0.000610625,0.000610625
33,497.784,0.86757,0.67148,0.82928,0.9277,0.97705,0.98554,0.73792,1.05056,0.84083,0.84197,0.00059,0.00059,0.00059
34,511.94,0.87043,0.67517,0.8334,0.94796,0.97511,0.98679,0.74862,1.03729,0.78823,0.83799,0.000569375,0.000569375,0.000569375
35,526.571,0.83625,0.64347,0.83869,0.94248,0.97462,0.98679,0.73332,1.0744,0.79353,0.84197,0.00054875,0.00054875,0.00054875
36,540.971,0.80352,0.6293,0.83461,0.92542,0.96772,0.98554,0.74026,1.02981,0.80493,0.83731,0.000528125,0.000528125,0.000528125
37,555.756,0.84293,0.62452,0.83186,0.8921,0.94134,0.98208,0.73464,1.04416,0.84154,0.84026,0.0005075,0.0005075,0.0005075
38,570.79,0.85693,0.62286,0.83614,0.89569,0.97459,0.98679,0.73049,1.06547,0.84356,0.84399,0.000486875,0.000486875,0.000486875
39,586.515,0.84288,0.62671,0.82868,0.90881,0.94194,0.98821,0.74535,1.10966,0.77074,0.8502,0.00046625,0.00046625,0.00046625
40,602.26,0.86924,0.65248,0.83048,0.93055,0.98943,0.98679,0.7426,1.07349,0.7241,0.84094,0.000445625,0.000445625,0.000445625
41,617.92,0.82435,0.59889,0.82544,0.94681,0.97718,0.98679,0.74898,1.03177,0.70321,0.83487,0.000425,0.000425,0.000425
42,633.25,0.80431,0.61914,0.828,0.96288,0.97016,0.98554,0.75231,1.04438,0.68021,0.83692,0.000404375,0.000404375,0.000404375
43,648.637,0.82446,0.58036,0.82705,0.95711,0.97295,0.98411,0.74832,1.06586,0.67231,0.84154,0.00038375,0.00038375,0.00038375
44,664.237,0.8168,0.58154,0.82754,0.95297,0.99211,0.98411,0.75395,1.00698,0.64356,0.83327,0.000363125,0.000363125,0.000363125
45,679.614,0.81718,0.57963,0.82688,0.95674,0.9926,0.98679,0.76559,1.01164,0.64043,0.83442,0.0003425,0.0003425,0.0003425
46,695.329,0.80092,0.56178,0.83478,0.96341,0.9872,0.98679,0.75295,1.03025,0.63279,0.83576,0.000321875,0.000321875,0.000321875
47,710.385,0.84974,0.58627,0.82739,0.96714,0.9893,0.98679,0.74536,1.0454,0.63428,0.83771,0.00030125,0.00030125,0.00030125
48,725.479,0.78071,0.56399,0.8286,0.96289,1,0.98411,0.76668,0.99545,0.60838,0.83104,0.000280625,0.000280625,0.000280625
49,741.065,0.81385,0.57938,0.8237,0.9605,1,0.98411,0.7518,1.0033,0.62074,0.83094,0.00026,0.00026,0.00026
